code,name,roe1,roe2,roe3,roe4,roe5,asset_ratio,pe,pb,dividend_yield,收益率
SH600519,贵州茅台,29.9,31.41,33.09,34.46,32.95,0.228126739768969,36.889,10.635,1.239,16.891967440564933
SZ002801,微光股份,20.21,17.72,17.53,11.44,13.61,0.15627140756925173,18.555,4.22,1.851,16.782975904068984
SZ300529,健帆生物,38.07,35.74,30.24,26.3,22.21,0.29655432279189964,20.742,7.209,2.897,16.768095411917844
SZ002128,电投能源,18.81,12.3,15.87,17.56,17.43,0.37553732019569935,6.498,1.113,3.765,16.702902183748847
SH603369,今世缘,22.64,20.25,21.93,20.36,18.11,0.3558767413005455,31.24,7.083,0.982,16.699349313700385
SH603568,伟明环保,24.91,26.02,26.54,28.74,24.24,0.4386931554209754,19.96,3.599,0.535,16.6405971242485
SZ002768,国恩股份,19.12,26.74,18.01,17.63,22.23,0.47656155062315947,11.525,1.999,0.861,16.484763386117137
SH600436,片仔癀,27.68,23.07,23.64,24.98,21.16,0.18875729090497395,73.414,16.659,0.402,16.39693913896532
SH600566,济川药业,20.46,19.89,28.43,34.74,31.78,0.24729854753348848,13.059,2.582,2.267,16.185410885519566
SZ002064,华峰化学,51.91,21.9,26.83,12.35,12.02,0.3484459598152962,8.866,1.648,3.974,16.01271174915407
SZ002833,弘亚数控,26.69,22.35,23.83,25.42,28.67,0.3298012827492467,14.962,3.077,2.212,15.971108428819676
SH603806,福斯特,21.06,20.92,16.24,14.31,12.03,0.10943047758218967,34.801,6.231,0.4,15.812257912128961
SZ002158,汉钟精机,19.97,16.86,12.65,11.23,10.63,0.43945682428898225,23.288,4.844,1.384,15.480316229474408
SH603198,迎驾贡酒,24.89,19.28,20.57,18.42,16.9,0.3043332617923368,32.32,8.155,1.373,15.408239455445543
SZ002832,比音勒芬,21.73,22.97,22.86,19.14,13.24,0.3324206999688969,24.095,4.528,0.962,15.398344556131978
SZ300357,我武生物,21.45,20.55,26.04,26.63,25.55,0.07006169721139612,70.72,14.107,0.381,14.95391399547511
SZ000858,五粮液,25.3,24.94,25.26,22.8,19.38,0.252386989988304,29.104,7.061,1.548,14.878841928532161
SZ000902,新洋丰,16.3,14.19,10.19,13.71,12.56,0.3723354445226958,11.119,1.808,1.726,14.865847076895404
SZ000672,上峰水泥,29.11,33.55,53.27,50.47,42.62,0.40285676578817364,8.529,1.478,5.321,14.785674439910894
SH601216,君正集团,21.06,24.56,14.12,13.8,14.63,0.35862739421034495,9.114,1.514,3.716,14.70178201272767
SH603288,海天味业,31.63,36.13,33.69,32.66,31.12,0.2950974044005034,52.592,14.013,0.918,14.698802842105266
